,Adana,Adiyaman,Afyon,Agri,Amasya,Ankara,Antalya,Artvin,Aydin,Balikesir,Bilecik,Bingol,Bitlis,Bolu,Burdur,Bursa,Canakkale,Cankiri,Corum,Denizli,Diyarbakir,Edirne,Elazig,Erzincan,Erzurum,Eskisehir,Gaziantep,Giresun,Gumushane,Hakkari,Hatay,Isparta,Icel,Istanbul,Izmir,Kars,Kastamonu,Kayseri,Kirklareli,Kirsehir,Kocaeli,Konya,Kutahya,Malatya,Manisa,Maras,Mardin,Mugla,Mus,Nevsehir,Nigde,Ordu,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdag,Tokat,Trabzon,Tunceli,Sanliurfa,Usak,Van,Yozgat,Zonguldak
Malatya,0.019140145,0.040246035,0.00863749,0.012429911,0.015875302,0.011264019,0.007862214,0.011332597,0.006299083,0.00630976,0.007731585,0.030514412,0.017037795,0.008738869,0.007755746,0.007214648,0.005714134,0.010806265,0.013969074,0.007050678,0.029663412,0.005543944,0.075974658,0.020511065,0.01772742,0.008432068,0.030143791,0.013686611,0.015071896,0.010269678,0.019645162,0.008190887,0.016256586,0.006683587,0.006256737,0.011970284,0.01031235,0.021834359,0.005623502,0.015674771,0.007423247,0.011543436,0.007747676,0,0.00635283,0.033387966,0.021518834,0.006199431,0.021032532,0.017643404,0.015875302,0.013295565,0.011298204,0.007707574,0.012705659,0.016998896,0.010171471,0.030143791,0.005975535,0.020973286,0.012534539,0.031955006,0.027781778,0.007605226,0.012903841,0.015807891,0.008014549
Manisa,0.008231551,0.005992134,0.023446642,0.004492249,0.008103076,0.012956255,0.016982381,0.004659269,0.046592687,0.053054446,0.019077321,0.005133093,0.004517377,0.01300261,0.02041702,0.025414193,0.021632319,0.010503554,0.009029142,0.035283782,0.005169601,0.013336622,0.005723196,0.005819423,0.005058079,0.018447866,0.006674434,0.006113086,0.00544862,0.004078821,0.006767653,0.019968294,0.00830681,0.013739998,0.201901643,0.004440109,0.009029142,0.008746642,0.012933201,0.009875624,0.017388658,0.013636884,0.023001453,0.006201757,0,0.006799307,0.005140353,0.028503761,0.004763079,0.009691279,0.009294705,0.006347999,0.005188051,0.016333616,0.007416795,0.004574235,0.007312333,0.007246719,0.014086161,0.007571312,0.005481493,0.005270819,0.005928596,0.03766041,0.00415578,0.0093305,0.01157398
Maras,0.040009447,0.045376568,0.009804687,0.009164726,0.014067594,0.012549338,0.010002362,0.008456542,0.006896902,0.006884142,0.008314813,0.01593524,0.012875012,0.009492037,0.008683497,0.007719665,0.006025714,0.011983506,0.013530468,0.007808769,0.020167364,0.005836672,0.023183044,0.012699244,0.011573495,0.00913099,0.093021965,0.011591522,0.010600794,0.009627112,0.042282711,0.009232949,0.029183362,0.007114491,0.006846143,0.008806813,0.01012484,0.027259184,0.005924966,0.018284416,0.007959099,0.013730179,0.008653206,0.033371108,0.006961419,0,0.018374709,0.007040451,0.012897326,0.021021913,0.019032627,0.011501943,0.008838191,0.008287035,0.011519748,0.013481444,0.009396158,0.021570311,0.006317281,0.017931945,0.009702421,0.016319643,0.034293812,0.008495157,0.009975546,0.016611065,0.008643156
Mardin,0.016796038,0.030130731,0.008078529,0.01721756,0.011190334,0.008936569,0.008189804,0.013595574,0.006263129,0.006254345,0.006865817,0.037316721,0.03140386,0.007501006,0.00741988,0.006519515,0.005461541,0.008769613,0.010358532,0.006871107,0.093881014,0.005308748,0.035962485,0.017801789,0.021285671,0.007316404,0.027442143,0.011390417,0.01436183,0.022809965,0.017118419,0.00774865,0.014864494,0.006146586,0.00622814,0.01436183,0.008493997,0.013154419,0.005369474,0.010983616,0.006655744,0.0100549,0.007401408,0.025776579,0.006307423,0.022021472,0,0.00636141,0.025265429,0.011750588,0.012117794,0.010823661,0.011204392,0.00684474,0.009757873,0.038776941,0.008413864,0.015510776,0.005634047,0.013058121,0.012369898,0.024039613,0.047439874,0.00730442,0.019731629,0.011162323,0.007044784
Mugla,0.010975459,0.007959721,0.025767183,0.005720901,0.009978732,0.015369172,0.030541932,0.005897363,0.096561867,0.024386798,0.01757284,0.006615657,0.005963584,0.012578454,0.039666493,0.017670286,0.01725564,0.012695385,0.011038828,0.065928447,0.006857694,0.012528997,0.007359218,0.007342262,0.006415856,0.019043077,0.00887616,0.0076477,0.006852778,0.005400918,0.00900153,0.032738441,0.011919732,0.012193399,0.041745086,0.005656583,0.011026096,0.011115843,0.012255929,0.01199451,0.014204495,0.01719357,0.022026785,0.007959721,0.037488725,0.009044111,0.006818563,0,0.006147669,0.012271662,0.011787454,0.00792672,0.006538731,0.014798181,0.009183117,0.006061905,0.009052675,0.009052675,0.013024012,0.009363002,0.006892303,0.006675716,0.007874485,0.032187289,0.005397868,0.011380506,0.011531514
Mus,0.010928358,0.017537301,0.006677443,0.03314192,0.01082636,0.007999774,0.006241176,0.017924438,0.005286309,0.005293201,0.006165353,0.071226055,0.097828558,0.007005842,0.006179429,0.00585842,0.004900284,0.008136042,0.009643433,0.005758702,0.031471978,0.004921073,0.031717853,0.021090313,0.03314192,0.006564083,0.01412134,0.013376887,0.018246675,0.020556381,0.011077449,0.006428955,0.009999717,0.005714124,0.005258919,0.024831102,0.008095484,0.011683123,0.0049784,0.009794657,0.006198298,0.008127898,0.00617473,0.022937204,0.00532095,0.014072392,0.023002182,0.005221717,0,0.010463622,0.009866064,0.012472765,0.013443328,0.006378453,0.009950699,0.045109835,0.008277034,0.013927565,0.005228442,0.011784863,0.014898661,0.031842237,0.018538288,0.006091351,0.036411526,0.010061673,0.006569393
Nevsehir,0.022162543,0.012279247,0.014456022,0.007130773,0.017522451,0.022962635,0.011822769,0.006839408,0.008369276,0.008347309,0.010985578,0.009550525,0.007404715,0.013591132,0.011822769,0.009815818,0.006921273,0.020854589,0.021783047,0.010032571,0.009451188,0.006632586,0.012232019,0.012161854,0.008946062,0.012746793,0.014655875,0.011081271,0.010032571,0.005643877,0.013306799,0.013060883,0.022716606,0.008713219,0.008282096,0.006982052,0.015180548,0.078526541,0.006766649,0.06989725,0.010275686,0.028523093,0.011757208,0.01507263,0.008480866,0.017967937,0.008380303,0.008165147,0.008196714,0,0.0775689,0.011139492,0.008217894,0.010928952,0.013620235,0.007396104,0.010618781,0.022962635,0.007378944,0.018762979,0.009099642,0.009740658,0.011139492,0.011419479,0.006367017,0.033477104,0.011670917
Nigde,0.034955354,0.013394108,0.01518188,0.007631361,0.016249087,0.020710542,0.012842021,0.007334542,0.009047787,0.009024997,0.011127092,0.010050277,0.007909324,0.013444367,0.012571662,0.010050277,0.007282365,0.018516402,0.019367155,0.010759531,0.009952566,0.006997898,0.012638179,0.012571662,0.009453625,0.012705403,0.017435152,0.011539207,0.010522537,0.006490804,0.018095575,0.013807028,0.036191149,0.009013645,0.008957309,0.007480008,0.014303089,0.055983184,0.007130197,0.041421084,0.010476385,0.028101363,0.012505842,0.015278993,0.009163488,0.018326976,0.009736206,0.008835817,0.008706984,0.087388384,0,0.011447041,0.008728194,0.011075498,0.013148344,0.007900604,0.010584708,0.022116813,0.007730148,0.01818743,0.009605694,0.010236925,0.013076364,0.012166125,0.006850715,0.026738237,0.011747291
Ordu,0.009874758,0.009915506,0.008571431,0.012238664,0.024602639,0.012343447,0.006500066,0.017370056,0.006072934,0.006774975,0.00842123,0.012259478,0.009820944,0.011263396,0.00716558,0.00789548,0.006088322,0.014533414,0.021201686,0.006794131,0.009888303,0.006373628,0.012259478,0.022317564,0.017668072,0.008823223,0.009915506,0.163831209,0.034993074,0.007046504,0.008758898,0.00717271,0.009021994,0.007991766,0.006198257,0.011856206,0.015175944,0.014475047,0.00648253,0.01308271,0.00911324,0.009078808,0.008054272,0.012872452,0.006295697,0.011141535,0.008748268,0.005977258,0.011073077,0.012624471,0.011515293,0,0.028158489,0.009560442,0.043688322,0.008674577,0.021844161,0.023030585,0.006971541,0.031071436,0.039826371,0.015912965,0.008899473,0.007572031,0.008780235,0.01642044,0.010053798
Rize,0.009648363,0.010450511,0.008135584,0.016466303,0.01625635,0.010624686,0.00680239,0.056130416,0.006184848,0.006761164,0.008025842,0.016022866,0.012990882,0.009960643,0.007071899,0.007634505,0.006197733,0.011868,0.01497439,0.006776565,0.012731435,0.006434561,0.015630011,0.029165804,0.02367304,0.008317555,0.009743162,0.042097812,0.050998492,0.009690267,0.008766931,0.007077507,0.008978608,0.007707026,0.006289455,0.024722261,0.012208941,0.012878407,0.00652393,0.011059153,0.008524103,0.008951591,0.007753898,0.013542847,0.006370261,0.010599449,0.01121198,0.006104471,0.014776053,0.011530667,0.010870568,0.034862251,0,0.008836372,0.021198898,0.011383592,0.015229925,0.017957216,0.0069184,0.018288394,0.118996482,0.020469578,0.010130234,0.007388027,0.012412707,0.012841347,0.009172391
Sakarya,0.007553702,0.005626157,0.019089388,0.004753364,0.011424433,0.019590093,0.010373226,0.005111188,0.009941728,0.019274124,0.058578219,0.005137557,0.004406326,0.052412091,0.013160745,0.03757848,0.013895299,0.017120282,0.012821842,0.011926105,0.004909596,0.015848749,0.005615581,0.006728579,0.005552954,0.032829552,0.006109385,0.007487442,0.006223936,0.003582121,0.006084499,0.013189798,0.007621146,0.040371476,0.012421992,0.004682585,0.016597162,0.009559965,0.016689884,0.012168999,0.161485902,0.011490343,0.02818386,0.006185278,0.013426918,0.006653651,0.004585555,0.009249193,0.00469362,0.010266286,0.009234897,0.007924375,0.00591582,0,0.010144276,0.004255683,0.010883385,0.008020105,0.021339209,0.009379872,0.006390351,0.00586933,0.005358725,0.016926284,0.004012746,0.011424433,0.032650155
Samsun,0.010517484,0.010182266,0.01134208,0.010168761,0.058528596,0.018298917,0.008003388,0.01321939,0.007502198,0.008528639,0.01109587,0.010648953,0.008528639,0.016141571,0.00911682,0.010250329,0.007524285,0.023163885,0.043812834,0.008557194,0.009361717,0.007937108,0.011512381,0.017229766,0.013380883,0.01175958,0.010560945,0.036685388,0.020666431,0.006453911,0.00932755,0.009127674,0.010319308,0.010403319,0.007682611,0.009918818,0.024733052,0.016962934,0.008096353,0.019609325,0.012247997,0.011924177,0.010503077,0.013084038,0.00782372,0.011868802,0.008388672,0.00736527,0.009396135,0.016418086,0.014068341,0.046468158,0.018211986,0.013017396,0,0.007698038,0.046468158,0.022617245,0.008823068,0.033191541,0.022159671,0.013334341,0.009171347,0.009742371,0.007776112,0.027481169,0.013889938
Siirt,0.013216461,0.024048509,0.007295404,0.028189793,0.010495862,0.008490283,0.007381979,0.014740634,0.00583541,0.005828121,0.006660115,0.032855005,0.096194034,0.007233195,0.006776196,0.006347498,0.005359461,0.008413725,0.009790998,0.00633457,0.04989744,0.005239091,0.027443592,0.016691988,0.021954874,0.007063453,0.018661643,0.01185619,0.014929314,0.032511573,0.013406353,0.007036819,0.012039769,0.006012127,0.005806361,0.018403987,0.008170597,0.011977948,0.005295585,0.010219958,0.00647524,0.008786084,0.006761465,0.021303245,0.005872134,0.016903662,0.040568788,0.005916818,0.051837896,0.010849792,0.010287565,0.011228425,0.011901558,0.006645884,0.009368295,0,0.008099671,0.013989237,0.005540868,0.012039769,0.012870098,0.021750166,0.025704742,0.006683969,0.035210647,0.010472302,0.006825765
Sinop,0.010543237,0.010261771,0.013350698,0.010038446,0.035077309,0.021256526,0.009432855,0.012382996,0.008896174,0.010739618,0.014171017,0.010543237,0.008670425,0.02120766,0.010777257,0.01303013,0.00942322,0.030446641,0.030049942,0.0101266,0.00955993,0.009962562,0.011361247,0.015375554,0.01250045,0.013831083,0.010579509,0.024666664,0.017211441,0.006818427,0.009530302,0.010789862,0.010579509,0.013235771,0.009106942,0.009835109,0.048811281,0.015796802,0.010171259,0.017843969,0.015742888,0.013331405,0.012382996,0.012602913,0.009281018,0.011648147,0.008703144,0.00873611,0.009404008,0.015401222,0.013626783,0.027955552,0.015742888,0.016803884,0.055911104,0.008008101,0,0.019021303,0.011128266,0.024470377,0.018053488,0.012637441,0.009394432,0.011502908,0.008015058,0.022446064,0.02005507
Sivas,0.016463904,0.017020654,0.010080903,0.011457806,0.03174122,0.015942423,0.008646075,0.010791043,0.006795131,0.007249538,0.00933318,0.014897571,0.010580407,0.011167276,0.008646075,0.00855164,0.006435206,0.015942423,0.02463829,0.007734963,0.014680314,0.006280348,0.021549085,0.028644516,0.016236293,0.010439335,0.01658012,0.023725761,0.019738238,0.007386322,0.01352505,0.009223234,0.014178171,0.007890875,0.006901617,0.011114434,0.014834844,0.035951791,0.006388532,0.021353185,0.009010935,0.014093102,0.009357969,0.028528546,0.007025475,0.020424785,0.012254871,0.00667287,0.012086708,0.025438812,0.021748614,0.022512942,0.014178171,0.009458458,0.020786286,0.010564544,0.014528971,0,0.006874684,0.065245842,0.016697988,0.018740827,0.014178171,0.008699446,0.008742619,0.031457817,0.009952756
Tekirdag,0.00862405,0.006882532,0.015575645,0.006009341,0.011502313,0.015788646,0.010790137,0.006374298,0.014545445,0.024178947,0.024178947,0.006400802,0.005645695,0.023442532,0.012583594,0.024630287,0.049129562,0.014684193,0.012381176,0.013826883,0.006169912,0.065973983,0.00687229,0.00790784,0.006811473,0.019992116,0.007342097,0.00856805,0.007448676,0.004741457,0.007318825,0.012600761,0.008680787,0.069972406,0.018289817,0.005935962,0.014431809,0.01020592,0.076333534,0.011979712,0.038009702,0.011545447,0.018773085,0.007412807,0.017899918,0.007840711,0.005834717,0.012583594,0.005947429,0.010715032,0.009963708,0.008932648,0.007159967,0.032986992,0.01062872,0.005484773,0.011141565,0.009011081,0,0.010072364,0.00760194,0.007115838,0.006621045,0.015291983,0.005221231,0.011502313,0.019948937
Tokat,0.013862786,0.013225416,0.010523883,0.010258049,0.060558485,0.017302424,0.007871913,0.010670274,0.006889888,0.007431289,0.009696162,0.011923432,0.008942574,0.013200129,0.008408852,0.008839523,0.006562421,0.020669663,0.038784648,0.007880899,0.011740931,0.00680835,0.0158705,0.022709432,0.014031844,0.010923524,0.013946803,0.025013287,0.018360817,0.006500628,0.011681332,0.008439691,0.01217578,0.008794481,0.007058965,0.009976398,0.018811083,0.025953636,0.006938359,0.02164159,0.01024283,0.012284106,0.009723475,0.01944695,0.00719132,0.016635343,0.010107858,0.006761672,0.010019836,0.0203648,0.017521998,0.029757187,0.014146859,0.010837782,0.029886006,0.008907958,0.018312115,0.063922845,0.007528536,0,0.016715901,0.015907068,0.01141102,0.00900087,0.007628362,0.03335105,0.011506112
Trabzon,0.009249083,0.010092067,0.007692486,0.016276854,0.016585908,0.010276759,0.006355473,0.033597095,0.005746872,0.006314635,0.007581215,0.016310623,0.012518663,0.009575786,0.006623185,0.007186216,0.005759502,0.011612585,0.015089674,0.006329888,0.012558659,0.005992165,0.015850243,0.034033421,0.026032186,0.007877475,0.009348062,0.05738482,0.078617203,0.008573305,0.008336925,0.006628769,0.008554647,0.007259206,0.005849494,0.018031469,0.01198433,0.01272123,0.006080217,0.010740055,0.00808819,0.008526812,0.007306432,0.013235219,0.005928899,0.010249961,0.010903912,0.005668147,0.014425175,0.011247096,0.010538499,0.043434919,0.104822938,0.008408257,0.022721735,0.010843752,0.015384971,0.018629669,0.006470552,0.019035642,0,0.021777619,0.009753995,0.006938853,0.010995413,0.012680194,0.0087547
Tunceli,0.012546513,0.018669692,0.007259471,0.01844901,0.015765518,0.009540258,0.006613501,0.016928267,0.005522952,0.005876454,0.006967796,0.053820215,0.023088554,0.008632667,0.006552419,0.006630358,0.005389455,0.010503272,0.013294602,0.006063661,0.028275113,0.005594216,0.057806898,0.06003024,0.03224765,0.007425244,0.01625819,0.01844901,0.02990012,0.012006048,0.012751522,0.006845554,0.011293678,0.006692908,0.005586207,0.017655953,0.010433063,0.013643236,0.005671462,0.011053727,0.007397091,0.008908597,0.006912251,0.033493267,0.005659123,0.017113884,0.021034855,0.005449673,0.030603652,0.01195089,0.011148473,0.017227221,0.017898925,0.007665944,0.013572054,0.018190982,0.010690317,0.020755136,0.006012274,0.017981408,0.021617538,0,0.017113884,0.006580043,0.016326216,0.013006552,0.007955078
Sanliurfa,0.024060844,0.075714398,0.009009683,0.013246981,0.011478261,0.010188728,0.009159677,0.011137476,0.006677079,0.006666292,0.007428325,0.025471819,0.021215603,0.008244625,0.008138924,0.006993957,0.005711328,0.009848293,0.010759934,0.007435017,0.045849274,0.005531414,0.024783392,0.014083395,0.016374741,0.008004723,0.060239923,0.010394042,0.011689617,0.01484329,0.024783392,0.008569958,0.020031236,0.006534338,0.006634139,0.011689617,0.00866898,0.016842591,0.005602763,0.013225752,0.007163949,0.01180668,0.008114916,0.030794289,0.006731541,0.038031656,0.043898241,0.00679808,0.018842168,0.014453361,0.015059981,0.010188728,0.009367616,0.007401677,0.009871853,0.022735177,0.008404144,0.016605371,0.005916035,0.013641106,0.010239292,0.018098398,0,0.007989225,0.014816642,0.01241033,0.007655723
Usak,0.010323429,0.006983496,0.060881762,0.004998713,0.010118134,0.01935643,0.024228456,0.005210802,0.0256229,0.031799849,0.028379148,0.005824339,0.005030485,0.015253032,0.041413757,0.022977955,0.016527068,0.014274882,0.01163916,0.046862935,0.005872355,0.011253027,0.006613896,0.006745423,0.005726018,0.032525873,0.007949962,0.007151773,0.006242915,0.004482798,0.008085319,0.041655942,0.010444525,0.014217897,0.033759081,0.004932941,0.011620173,0.011164837,0.010958717,0.01311817,0.018264529,0.020950489,0.050518909,0.007275961,0.036907597,0.008131468,0.005833879,0.023983724,0.005343711,0.012788449,0.012093661,0.007482317,0.005896661,0.020178941,0.009051037,0.005102555,0.008881753,0.008794032,0.011793321,0.009287048,0.006286996,0.006006042,0.006895611,0,0.00457787,0.012155574,0.013289489
Van,0.012122049,0.018745436,0.007581545,0.047025189,0.011293834,0.008812475,0.007482746,0.019207472,0.006202299,0.006209359,0.007084314,0.032373424,0.064939547,0.007934432,0.007098142,0.006780512,0.005803108,0.008986692,0.010311762,0.00668086,0.028938578,0.005846647,0.022776292,0.018152818,0.02628878,0.007472496,0.015720236,0.014040983,0.017739584,0.054009128,0.012258252,0.007341752,0.011258869,0.006664535,0.006174218,0.029972099,0.008949831,0.011884362,0.005906791,0.010370574,0.007149308,0.008927859,0.007093527,0.018907875,0.006237761,0.014624456,0.024136823,0.006160273,0.048923067,0.010920765,0.010430061,0.013288482,0.015173635,0.00732696,0.01106475,0.041169222,0.009478579,0.013535786,0.006167238,0.012055076,0.015258523,0.022823941,0.019586793,0.007011468,0,0.010592081,0.007513667
Yozgat,0.013999088,0.010819557,0.013940145,0.007892215,0.033783514,0.030374168,0.009666524,0.007753593,0.008065248,0.008852365,0.012469998,0.009500099,0.007439965,0.016189654,0.010346201,0.011035948,0.00760226,0.026916946,0.06366893,0.009527437,0.009405637,0.007357299,0.012017366,0.014088444,0.010063174,0.01468197,0.01254085,0.013709252,0.011396848,0.005621026,0.010611488,0.010837265,0.014209375,0.00986821,0.008308116,0.007717446,0.022370164,0.037837535,0.007515969,0.059121149,0.01182423,0.017896132,0.012517143,0.014058532,0.008500088,0.014780287,0.00828732,0.00788282,0.008205166,0.034850361,0.024707346,0.0150833,0.009527437,0.012660743,0.023733221,0.007431615,0.016110873,0.029560574,0.008246038,0.031988254,0.010679949,0.011035948,0.009957246,0.011299605,0.006428707,0,0.013624627
Zonguldak,0.011343337,0.008344269,0.017243701,0.007010554,0.01759851,0.031913715,0.011268611,0.007555544,0.01090928,0.017348632,0.03001009,0.007595804,0.006484364,0.053791671,0.013426807,0.025008409,0.013952489,0.027413063,0.019936773,0.012504204,0.0072482,0.015272992,0.008328019,0.010050383,0.008231834,0.023432536,0.009089135,0.011238996,0.009266388,0.005243946,0.009050662,0.013447918,0.011449633,0.025839504,0.012880837,0.006903047,0.031560427,0.014545707,0.015809382,0.018838933,0.038876708,0.016384819,0.02165285,0.00920654,0.013619229,0.009933654,0.006755826,0.0103171,0.006919802,0.01569335,0.014021108,0.011928697,0.008790211,0.046737026,0.01549434,0.006256676,0.018593208,0.012080333,0.018472734,0.014254793,0.009524361,0.008718528,0.007934022,0.015956858,0.00589041,0.01759851,0